scenario,node,lon,lat
OSM_LARGE,192,-3.194927,55.94603
OSM_LARGE,193,-3.194926,55.950142
OSM_LARGE,194,-3.194925,55.944029
OSM_LARGE,195,-3.19491,55.946039
OSM_LARGE,196,-3.194886,55.946047
OSM_LARGE,197,-3.19488,55.944904
OSM_LARGE,198,-3.19487,55.949954
OSM_LARGE,199,-3.19485,55.947279
OSM_LARGE,200,-3.194833,55.949966
OSM_LARGE,201,-3.194821,55.944909
OSM_LARGE,202,-3.194808,55.949983
OSM_LARGE,203,-3.194793,55.950004
OSM_LARGE,204,-3.194784,55.95003
OSM_LARGE,205,-3.194778,55.950093
OSM_LARGE,206,-3.194768,55.950116
OSM_LARGE,207,-3.194763,55.944914
OSM_LARGE,208,-3.194758,55.949965
OSM_LARGE,209,-3.194754,55.950136
OSM_LARGE,210,-3.194733,55.950152
OSM_LARGE,211,-3.19471,55.950071
OSM_LARGE,212,-3.194695,55.950169
OSM_LARGE,213,-3.19466,55.945604
OSM_LARGE,214,-3.194648,55.950183
OSM_LARGE,215,-3.194638,55.945585
OSM_LARGE,216,-3.194634,55.947715
OSM_LARGE,217,-3.194632,55.950049
OSM_LARGE,218,-3.194621,55.945574
OSM_LARGE,219,-3.194604,55.945566
OSM_LARGE,220,-3.194599,55.950194
OSM_LARGE,221,-3.194598,55.944932
OSM_LARGE,222,-3.194585,55.945558
OSM_LARGE,223,-3.19455,55.945548
OSM_LARGE,224,-3.194534,55.950028
OSM_LARGE,225,-3.194532,55.946138
OSM_LARGE,226,-3.194509,55.945541
OSM_LARGE,227,-3.194504,55.947748
OSM_LARGE,228,-3.194476,55.94554
OSM_LARGE,229,-3.194475,55.950018
OSM_LARGE,230,-3.194436,55.94554
OSM_LARGE,231,-3.194425,55.947771
OSM_LARGE,232,-3.194407,55.95001
OSM_LARGE,233,-3.194405,55.945545
OSM_LARGE,234,-3.194358,55.94406
OSM_LARGE,235,-3.194354,55.947431
OSM_LARGE,236,-3.194352,55.947791
OSM_LARGE,237,-3.194328,55.950003
OSM_LARGE,238,-3.194313,55.9478
OSM_LARGE,239,-3.19427,55.95026
OSM_LARGE,240,-3.194266,55.947811
OSM_LARGE,241,-3.194251,55.944969
OSM_LARGE,242,-3.194241,55.944926
OSM_LARGE,243,-3.194235,55.950203
OSM_LARGE,244,-3.19423,55.944876
OSM_LARGE,245,-3.194229,55.950194
OSM_LARGE,246,-3.194225,55.944067
OSM_LARGE,247,-3.194224,55.947821
OSM_LARGE,248,-3.19422,55.950181
OSM_LARGE,249,-3.194216,55.949994
OSM_LARGE,250,-3.194211,55.950176
OSM_LARGE,251,-3.194201,55.944752
OSM_LARGE,252,-3.1942,55.950172
OSM_LARGE,253,-3.194186,55.95017
OSM_LARGE,254,-3.194182,55.947776
OSM_LARGE,255,-3.194182,55.947829
OSM_LARGE,256,-3.194182,55.949992
OSM_LARGE,257,-3.194173,55.946233
OSM_LARGE,258,-3.19417,55.947763
OSM_LARGE,259,-3.194168,55.950171
OSM_LARGE,260,-3.194149,55.946239
OSM_LARGE,261,-3.194141,55.947833
OSM_LARGE,262,-3.194126,55.949989
OSM_LARGE,263,-3.194123,55.946241
OSM_LARGE,264,-3.194107,55.944348
OSM_LARGE,265,-3.194104,55.945625
OSM_LARGE,266,-3.194103,55.943459
OSM_LARGE,267,-3.194097,55.946237
OSM_LARGE,268,-3.194087,55.944076
OSM_LARGE,269,-3.194075,55.946229
OSM_LARGE,270,-3.19407,55.947833
OSM_LARGE,271,-3.194068,55.947675
OSM_LARGE,272,-3.194065,55.94752
