scenario,u,v,distance_m,speed_mps,congest_base
OSM_SMALL,65,66,3.6838744063685462,9.431857683363054,0.3333333332222222
OSM_SMALL,66,67,3.9108474524013306,11.055710476180764,0.3333333332222222
OSM_SMALL,67,71,6.083735538214185,11.3006637482366,0.3333333332222222
OSM_SMALL,68,73,7.065102598119519,8.25892310479808,0.4999999998333333
OSM_SMALL,68,69,5.148340165015073,12.356497290680705,0.3333333332222222
OSM_SMALL,69,70,9.440654609633567,9.528577841306344,0.3333333332222222
OSM_SMALL,70,71,7.339129294354127,12.373632304920328,0.3333333332222222
OSM_SMALL,72,77,3.4981464151373203,11.773828460886039,0.3333333332222222
OSM_SMALL,73,75,6.076002497655076,10.491984414224916,0.4999999998333333
OSM_SMALL,74,97,26.465708215495713,12.397164204125549,0.3333333332222222
OSM_SMALL,75,76,3.6359241590055857,9.792991098600934,0.3333333332222222
OSM_SMALL,76,79,3.870291338420172,10.172715954506222,0.3333333332222222
OSM_SMALL,77,82,4.303161246959816,12.011223684153386,0.3333333332222222
OSM_SMALL,78,84,11.66732184412586,11.538397188971734,0.3333333332222222
OSM_SMALL,79,81,3.4420317652431747,11.826683438097874,0.3333333332222222
OSM_SMALL,80,93,16.186806145488813,8.617604171014788,0.4999999998333333
OSM_SMALL,81,83,3.538221469265002,10.012488823524887,0.3333333332222222
OSM_SMALL,82,86,6.759139658711378,12.064933141259171,0.3333333332222222
OSM_SMALL,83,85,3.758260088203289,10.998255883108982,0.3333333332222222
OSM_SMALL,84,87,5.748653548480652,10.594051039941105,0.3333333332222222
OSM_SMALL,85,88,4.192545567496375,11.305186192255187,0.3333333332222222
OSM_SMALL,86,93,6.490294978185279,9.03801884787002,0.4999999998333333
OSM_SMALL,87,94,10.688829355432244,7.601642101456521,0.6666666664444444
OSM_SMALL,88,91,3.0285694533186374,11.14823005640657,0.3333333332222222
OSM_SMALL,89,95,22.92508096323264,11.959187927129154,0.3333333332222222
OSM_SMALL,89,90,1.4639936845457953,11.035394879067708,0.3333333332222222
OSM_SMALL,90,92,1.0319169081722022,11.87065261569977,0.3333333332222222
OSM_SMALL,91,94,3.0826451953739715,7.1681502328010085,0.6666666664444444
OSM_SMALL,92,104,23.420502928626743,11.365415160909096,0.3333333332222222
OSM_SMALL,93,102,19.473354813434803,9.084372510982295,0.6666666664444444
OSM_SMALL,94,98,4.6629551231683495,8.474390730469823,0.6666666664444444
OSM_SMALL,94,145,92.9265696240151,8.607031671243307,0.6666666664444444
OSM_SMALL,95,96,2.0125951474670254,10.894459305235307,0.3333333332222222
OSM_SMALL,96,116,30.53277862828211,10.514770892997769,0.3333333332222222
OSM_SMALL,97,99,3.471642594872098,10.549469410722384,0.3333333332222222
OSM_SMALL,98,133,43.60841030674546,11.45610026090794,0.1666666666111111
OSM_SMALL,99,101,6.182688729171794,11.376124420995247,0.3333333332222222
OSM_SMALL,100,108,17.407538618253145,13.34461009052211,0.1666666666111111
OSM_SMALL,101,107,10.333480752931061,11.428023115915344,0.3333333332222222
OSM_SMALL,102,127,22.12390291636672,8.481237897295665,0.4999999998333333
OSM_SMALL,102,103,5.366942362955605,10.275307556486664,0.4999999998333333
OSM_SMALL,103,106,6.337037748915153,10.070583176765322,0.3333333332222222
OSM_SMALL,104,105,0.9806922842370916,11.579898329226705,0.3333333332222222
OSM_SMALL,105,109,4.0319092850374405,8.185679540645445,0.6666666664444444
OSM_SMALL,106,109,11.883586419624246,8.94663415889826,0.6666666664444444
OSM_SMALL,107,157,60.753462208172195,12.171398985220456,0.3333333332222222
OSM_SMALL,108,111,3.8713998238324208,10.695787403105529,0.3333333332222222
OSM_SMALL,109,111,11.29170908817515,8.21429758954295,0.6666666664444444
OSM_SMALL,109,110,2.0036960578613496,7.806012206258187,0.6666666664444444
OSM_SMALL,110,113,2.3209071760642317,10.361659392383329,0.3333333332222222
OSM_SMALL,112,113,1.019575657870045,10.790374911593299,0.3333333332222222
OSM_SMALL,112,114,3.5119163311857053,12.009842251416448,0.3333333332222222
OSM_SMALL,114,122,12.631709063962623,11.515491848295149,0.3333333332222222
OSM_SMALL,115,117,1.729930466172996,9.448691320703105,0.3333333332222222
OSM_SMALL,115,116,0.4495087916860569,10.691641821578372,0.3333333332222222
OSM_SMALL,117,119,1.7328938801529379,9.553471224537006,0.3333333332222222
OSM_SMALL,118,122,1.4032860333165345,9.91743534241217,0.3333333332222222
OSM_SMALL,118,120,3.948677049334248,9.864568256329104,0.3333333332222222
OSM_SMALL,119,121,0.44950878501236935,9.491569737065808,0.3333333332222222
OSM_SMALL,120,123,0.7406080135809269,12.306142001456566,0.3333333332222222
OSM_SMALL,121,131,5.468513121618538,9.989365039893505,0.3333333332222222
OSM_SMALL,123,124,0.7921145322338056,9.60079850546136,0.3333333332222222
OSM_SMALL,124,125,0.8343933047522645,9.855249115196019,0.3333333332222222
OSM_SMALL,125,126,0.8054306106138046,12.126968024496495,0.3333333332222222
OSM_SMALL,126,128,0.8945305086207319,10.559855089902594,0.3333333332222222
OSM_SMALL,127,132,4.076719053459098,10.740469672034468,0.3333333332222222
OSM_SMALL,128,129,4.264150156958019,11.506086464643756,0.3333333332222222
OSM_SMALL,129,130,1.487089086932632,12.431459383468862,0.3333333332222222
OSM_SMALL,130,131,1.4747241046412136,11.866780079112157,0.3333333332222222
OSM_SMALL,132,134,3.674175314752973,9.512069047434595,0.3333333332222222
OSM_SMALL,134,135,3.2115575085019246,10.273970731230378,0.4999999998333333
OSM_SMALL,135,137,7.143672805605305,8.926651484973446,0.4999999998333333
OSM_SMALL,135,136,4.013935664126783,8.775561182396753,0.4999999998333333
OSM_SMALL,136,138,4.26757475710985,11.786674265096455,0.3333333332222222
OSM_SMALL,137,139,5.650123641926947,12.25991173098184,0.3333333332222222
OSM_SMALL,138,140,4.711589919357086,11.332198546336963,0.3333333332222222
OSM_SMALL,139,141,5.678449383259586,10.295861229369887,0.3333333332222222
OSM_SMALL,140,142,4.449043884896836,11.430593056547385,0.3333333332222222
OSM_SMALL,141,143,6.87466945891328,10.119495967635231,0.3333333332222222
OSM_SMALL,142,144,4.238632456483441,10.708437631225436,0.3333333332222222
OSM_SMALL,143,147,6.208428137060367,10.498345579761326,0.3333333332222222
OSM_SMALL,144,148,4.1217453447715515,10.622206395500987,0.3333333332222222
OSM_SMALL,145,149,3.0017710765544208,9.317893479515352,0.4999999998333333
OSM_SMALL,146,156,7.169452801482414,12.742390936962,0.1666666666111111
OSM_SMALL,147,150,4.337959398894694,10.684200357477733,0.3333333332222222
OSM_SMALL,148,154,4.720552554041908,10.190862364886303,0.3333333332222222
OSM_SMALL,149,153,2.7965301324563216,10.670628772470238,0.4999999998333333
OSM_SMALL,149,151,3.0243474131945964,9.363845654437135,0.4999999998333333
OSM_SMALL,150,152,4.13551272014582,9.74387778516586,0.3333333332222222
OSM_SMALL,151,152,1.7178723504165598,9.564923906603497,0.3333333332222222
OSM_SMALL,153,158,3.5731754161560576,10.470524218443723,0.3333333332222222
OSM_SMALL,154,161,13.14394891151151,9.820362749140363,0.3333333332222222
OSM_SMALL,155,168,42.0949212799122,12.920760556145265,0.1666666666111111
OSM_SMALL,156,160,8.351068014870897,12.274676513245636,0.3333333332222222
OSM_SMALL,157,173,56.622878710669504,9.856558028267001,0.4999999998333333
OSM_SMALL,158,159,3.8887031659610445,11.800276996166804,0.3333333332222222
OSM_SMALL,159,162,3.5748925944696026,10.853745344103432,0.3333333332222222
OSM_SMALL,160,171,42.56158883652981,11.790908105656355,0.3333333332222222
OSM_SMALL,161,163,5.070639998059681,10.328754842568028,0.3333333332222222
OSM_SMALL,162,164,3.0793204637964338,10.667482928882912,0.3333333332222222
OSM_SMALL,163,166,5.796304063207495,11.000012208964963,0.3333333332222222
OSM_SMALL,164,165,2.8403703334409123,11.272773792473664,0.3333333332222222
OSM_SMALL,165,169,43.41767725136476,10.351847737313715,0.4999999998333333
OSM_SMALL,166,167,20.253572969068703,10.489000138955792,0.3333333332222222
OSM_SMALL,167,172,37.83580938591721,11.524223045366313,0.3333333332222222
OSM_SMALL,168,169,6.410335486419455,10.50607991628574,0.4999999998333333
OSM_SMALL,169,170,8.6473372632646,10.20022581156948,0.4999999998333333
OSM_SMALL,170,174,19.171242412008212,10.825642250269842,0.3333333332222222
OSM_SMALL,171,177,34.13953131287661,8.905049594335845,0.4999999998333333
OSM_SMALL,172,176,17.028218806145297,12.166357777581636,0.3333333332222222
OSM_SMALL,173,182,10.429048806826074,6.476009514614537,0.8333333330555555
OSM_SMALL,173,177,5.327980173109925,7.240802161526115,0.6666666664444444
OSM_SMALL,174,175,5.459663398094851,9.508002913412598,0.3333333332222222
OSM_SMALL,175,179,5.657986880503911,10.468622580171711,0.3333333332222222
OSM_SMALL,176,181,9.091872504805371,9.951447536744885,0.3333333332222222
OSM_SMALL,177,178,3.8902753688259146,8.293274391981317,0.6666666664444444
OSM_SMALL,178,182,7.000988253400887,6.6635130648442455,0.8333333330555555
OSM_SMALL,178,180,0.5998163012360447,10.026525463456917,0.4999999998333333
OSM_SMALL,179,183,6.620822300620109,11.652383897062242,0.3333333332222222
OSM_SMALL,180,211,51.289118537852225,10.843675283073624,0.1666666666111111
OSM_SMALL,181,184,6.248362788841113,12.097062042543334,0.3333333332222222
OSM_SMALL,182,187,9.698728897418402,8.590177809780709,0.6666666664444444
OSM_SMALL,182,188,34.55147714526691,7.00218502223223,0.6666666664444444
OSM_SMALL,183,185,5.885518522815686,9.560457283914797,0.3333333332222222
OSM_SMALL,184,186,5.8292741580627805,10.32183522395029,0.3333333332222222
OSM_SMALL,185,191,6.653039362404788,10.557639833882888,0.3333333332222222
OSM_SMALL,186,190,6.056355713260664,11.71029719450119,0.3333333332222222
OSM_SMALL,187,214,42.488327729381076,11.501841189895304,0.3333333332222222
OSM_SMALL,188,189,4.137315541457578,10.35933814922319,0.3333333332222222
OSM_SMALL,189,193,27.156438806805557,9.72536305146282,0.3333333332222222
OSM_SMALL,190,192,4.826180943449674,11.394649711201202,0.3333333332222222
OSM_SMALL,191,194,6.620174973930901,11.27021358981485,0.3333333332222222
OSM_SMALL,192,195,6.019365722295867,10.26064653341399,0.3333333332222222
OSM_SMALL,193,196,26.85524996358627,11.713687001958727,0.3333333332222222
OSM_SMALL,194,197,5.542511517340682,12.083211999341955,0.3333333332222222
OSM_SMALL,195,199,5.172130948933788,10.6372258915689,0.3333333332222222
OSM_SMALL,196,198,2.88704304670827,10.941807785639005,0.3333333332222222
OSM_SMALL,197,200,4.523489615054923,11.197983532747449,0.3333333332222222
OSM_SMALL,198,221,38.39285284171681,10.273998795466282,0.4999999998333333
OSM_SMALL,199,201,5.156766191521977,11.70976630444293,0.3333333332222222
OSM_SMALL,200,202,4.640401663989872,11.462610175402451,0.3333333332222222
OSM_SMALL,201,204,5.0980911362823385,10.570840071238944,0.3333333332222222
OSM_SMALL,202,205,5.85840968698495,11.913823232494222,0.3333333332222222
OSM_SMALL,203,207,6.020795221191578,11.633513095962396,0.3333333332222222
OSM_SMALL,204,208,5.394952864683931,11.066421358893159,0.3333333332222222
OSM_SMALL,205,209,5.272052416889919,11.483758495722814,0.3333333332222222
OSM_SMALL,206,207,6.773185505429324,12.038133663614383,0.3333333332222222
OSM_SMALL,207,226,31.237698290088268,10.095470443523345,0.4999999998333333
OSM_SMALL,208,210,4.944250758774214,9.820608817168615,0.3333333332222222
OSM_SMALL,209,212,5.672048224811418,11.97033402506761,0.3333333332222222
OSM_SMALL,210,213,5.259423624166264,11.52868311289374,0.3333333332222222
OSM_SMALL,212,215,4.860753012758273,10.681824381930468,0.3333333332222222
OSM_SMALL,213,219,8.745585823564365,10.497374003844843,0.4999999998333333
OSM_SMALL,214,240,61.73356754179492,11.199135482471018,0.3333333332222222
OSM_SMALL,215,216,5.860264344923978,12.167987700708823,0.3333333332222222
OSM_SMALL,216,219,8.916628623398667,8.403213199468361,0.4999999998333333
OSM_SMALL,217,220,9.836545757958644,11.874941885020746,0.3333333332222222
