scenario,u,v,distance_m,speed_mps,congest_base
OSM_MEDIUM,118,144,26.465708215495713,12.269427896119174,0.3333333332222222
OSM_MEDIUM,119,121,3.6359241590055857,10.808003866653964,0.3333333332222222
OSM_MEDIUM,120,123,6.499899564151021,9.878708346142044,0.4999999998333333
OSM_MEDIUM,120,149,30.466953037962828,10.069946645629294,0.4999999998333333
OSM_MEDIUM,121,126,3.870291338420172,11.040461917479972,0.3333333332222222
OSM_MEDIUM,122,129,4.303161246959816,11.852727434307011,0.3333333332222222
OSM_MEDIUM,123,124,1.571907710182417,10.803622188875975,0.1666666666111111
OSM_MEDIUM,125,131,11.66732184412586,9.537015030135304,0.3333333332222222
OSM_MEDIUM,126,128,3.4420317652431747,11.865552256129414,0.3333333332222222
OSM_MEDIUM,127,140,16.186806145488813,9.536558369404089,0.4999999998333333
OSM_MEDIUM,128,130,3.538221469265002,11.87027966493464,0.3333333332222222
OSM_MEDIUM,129,133,6.759139658711378,10.85387599945799,0.3333333332222222
OSM_MEDIUM,130,132,3.758260088203289,11.201132436486345,0.3333333332222222
OSM_MEDIUM,131,134,5.748653548480652,9.923554137098211,0.3333333332222222
OSM_MEDIUM,132,135,4.192545567496375,11.332883348355555,0.3333333332222222
OSM_MEDIUM,133,140,6.490294978185279,9.818583764209436,0.4999999998333333
OSM_MEDIUM,134,141,10.688829355432244,9.176201562246465,0.6666666664444444
OSM_MEDIUM,135,138,3.0285694533186374,10.412790325174855,0.3333333332222222
OSM_MEDIUM,136,142,22.92508096323264,10.371494311035676,0.3333333332222222
OSM_MEDIUM,136,137,1.4639936845457953,11.100897603579448,0.3333333332222222
OSM_MEDIUM,137,139,1.0319169081722022,10.031153575218147,0.3333333332222222
OSM_MEDIUM,138,141,3.0826451953739715,8.089871367811982,0.6666666664444444
OSM_MEDIUM,139,154,23.420502928626743,9.453220635135512,0.3333333332222222
OSM_MEDIUM,140,152,19.473354813434803,8.30584024077755,0.6666666664444444
OSM_MEDIUM,141,145,4.6629551231683495,7.611184093502436,0.6666666664444444
OSM_MEDIUM,141,217,92.9265696240151,8.530836645317104,0.6666666664444444
OSM_MEDIUM,142,143,2.0125951474670254,9.475197960198235,0.3333333332222222
OSM_MEDIUM,143,170,30.53277862828211,9.447253098696658,0.3333333332222222
OSM_MEDIUM,144,146,3.471642594872098,11.590150000281412,0.3333333332222222
OSM_MEDIUM,145,192,43.60841030674546,11.090981126452553,0.1666666666111111
OSM_MEDIUM,146,151,6.182688729171794,11.96590965859385,0.3333333332222222
OSM_MEDIUM,147,161,66.29542251066731,9.642746816275636,0.4999999998333333
OSM_MEDIUM,147,243,82.77305611683322,8.800762300070845,0.4999999998333333
OSM_MEDIUM,148,159,17.407538618253145,13.851043473198215,0.1666666666111111
OSM_MEDIUM,149,198,39.37659718695297,10.714787006140908,0.3333333332222222
OSM_MEDIUM,150,195,36.72512459518584,10.273840489733145,0.3333333332222222
OSM_MEDIUM,151,157,10.333480752931061,11.982305242339663,0.3333333332222222
OSM_MEDIUM,152,183,22.12390291636672,8.987533119694758,0.4999999998333333
OSM_MEDIUM,152,153,5.366942362955605,10.439257348885777,0.4999999998333333
OSM_MEDIUM,153,156,6.337037748915153,12.281401069563362,0.3333333332222222
OSM_MEDIUM,154,155,0.9806922842370916,10.536635706978227,0.3333333332222222
OSM_MEDIUM,155,160,4.0319092850374405,7.23646300556449,0.6666666664444444
OSM_MEDIUM,156,160,11.883586419624246,9.193528660897657,0.6666666664444444
OSM_MEDIUM,157,234,60.753462208172195,12.319952725309742,0.3333333332222222
OSM_MEDIUM,158,162,12.08114241969383,10.075662818085696,0.3333333332222222
OSM_MEDIUM,158,181,15.32911775673615,13.745540444505629,0.1666666666111111
OSM_MEDIUM,159,164,3.8713998238324208,10.257382213956117,0.3333333332222222
OSM_MEDIUM,160,164,11.29170908817515,7.351185918621131,0.6666666664444444
OSM_MEDIUM,160,163,2.0036960578613496,7.101430138027991,0.6666666664444444
OSM_MEDIUM,161,191,58.5374082157951,10.16654796923293,0.3333333332222222
OSM_MEDIUM,162,193,20.363636748055644,10.503217397389031,0.3333333332222222
OSM_MEDIUM,163,166,2.3209071760642317,10.080424424183096,0.3333333332222222
OSM_MEDIUM,165,166,1.019575657870045,10.228903404562116,0.3333333332222222
OSM_MEDIUM,165,168,3.5119163311857053,10.083941152759738,0.3333333332222222
OSM_MEDIUM,167,185,8.326009461581343,12.403736210837497,0.1666666666111111
OSM_MEDIUM,168,177,12.631709063962623,9.801461384268714,0.3333333332222222
OSM_MEDIUM,169,171,1.729930466172996,11.051459837329773,0.3333333332222222
OSM_MEDIUM,169,170,0.4495087916860569,10.493883556077986,0.3333333332222222
OSM_MEDIUM,171,174,1.7328938801529379,9.460897485345413,0.3333333332222222
OSM_MEDIUM,172,177,1.4032860333165345,12.405077253330957,0.3333333332222222
OSM_MEDIUM,172,175,3.948677049334248,9.572139659602785,0.3333333332222222
OSM_MEDIUM,173,186,15.52447342996884,13.216559620098918,0.1666666666111111
OSM_MEDIUM,174,176,0.44950878501236935,9.743448584927869,0.3333333332222222
OSM_MEDIUM,175,178,0.7406080135809269,11.855275487159012,0.3333333332222222
OSM_MEDIUM,176,189,5.468513121618538,11.633843718589562,0.3333333332222222
OSM_MEDIUM,178,179,0.7921145322338056,9.737354387841672,0.3333333332222222
OSM_MEDIUM,179,180,0.8343933047522645,11.167845233087895,0.3333333332222222
OSM_MEDIUM,180,182,0.8054306106138046,12.22238856189217,0.3333333332222222
OSM_MEDIUM,182,184,0.8945305086207319,11.96586960455548,0.3333333332222222
OSM_MEDIUM,183,190,4.076719053459098,12.119883572907078,0.3333333332222222
OSM_MEDIUM,184,187,4.264150156958019,10.806227377751789,0.3333333332222222
OSM_MEDIUM,185,230,37.89657450385424,11.126237920312443,0.3333333332222222
OSM_MEDIUM,186,202,15.774971185442602,10.805910059614098,0.4999999998333333
