u,v,length_m,lon_u,lat_u,lon_v,lat_v,speed_mps,congest_base
100,101,1.035,-3.1911170,55.9452900,-3.1911160,55.9452810,8.750354,0.500000
101,103,1.996,-3.1911160,55.9452810,-3.1911140,55.9452630,8.923230,0.625000
101,129,11.011,-3.1911160,55.9452810,-3.1909450,55.9453050,7.458439,0.750000
102,104,2.837,-3.1911150,55.9454750,-3.1910940,55.9454530,12.920862,0.250000
103,126,10.236,-3.1911140,55.9452630,-3.1909570,55.9452900,11.772489,0.375000
104,108,1.977,-3.1910940,55.9454530,-3.1910750,55.9454380,10.345239,0.375000
105,108,1.665,-3.1910910,55.9454260,-3.1910750,55.9454380,10.768537,0.375000
107,112,15.739,-3.1910880,55.9467880,-3.1910390,55.9466490,10.022062,0.375000
107,130,17.887,-3.1910880,55.9467880,-3.1909390,55.9466500,10.233295,0.375000
108,111,2.240,-3.1910750,55.9454380,-3.1910460,55.9454260,10.436727,0.375000
109,133,9.883,-3.1910680,55.9453320,-3.1909140,55.9453530,11.616227,0.375000
110,121,29.478,-3.1910620,55.9460040,-3.1910000,55.9462670,10.005839,0.500000
111,120,2.570,-3.1910460,55.9454260,-3.1910090,55.9454160,10.068042,0.250000
112,113,3.684,-3.1910390,55.9466490,-3.1910290,55.9466160,11.392466,0.250000
113,115,3.911,-3.1910290,55.9466160,-3.1910200,55.9465820,10.179690,0.250000
114,123,4.363,-3.1910210,55.9471940,-3.1909930,55.9471580,9.592397,0.375000
115,119,6.084,-3.1910200,55.9465820,-3.1910110,55.9465270,10.511179,0.250000
116,117,5.148,-3.1910130,55.9463300,-3.1910130,55.9463760,13.112795,0.250000
116,121,7.065,-3.1910130,55.9463300,-3.1910000,55.9462670,9.180489,0.375000
117,118,9.441,-3.1910130,55.9463760,-3.1910120,55.9464610,10.644156,0.250000
118,119,7.339,-3.1910120,55.9464610,-3.1910110,55.9465270,10.230119,0.250000
120,127,3.498,-3.1910090,55.9454160,-3.1909560,55.9454060,10.501249,0.250000
121,124,6.076,-3.1910000,55.9462670,-3.1909780,55.9463200,11.729514,0.375000
122,131,3.892,-3.1909960,55.9449400,-3.1909360,55.9449500,11.252041,0.250000
123,128,6.874,-3.1909930,55.9471580,-3.1909480,55.9471020,9.997667,0.500000
123,166,26.466,-3.1909930,55.9471580,-3.1905970,55.9472450,9.332420,0.500000
124,125,3.636,-3.1909780,55.9463200,-3.1909590,55.9463510,13.246326,0.250000
125,132,3.870,-3.1909590,55.9463510,-3.1909360,55.9463830,12.644633,0.250000
126,129,1.881,-3.1909570,55.9452900,-3.1909450,55.9453050,8.265060,0.500000
127,135,4.303,-3.1909560,55.9454060,-3.1908870,55.9454030,12.599133,0.250000
128,216,72.368,-3.1909480,55.9471020,-3.1898610,55.9473330,8.926651,0.500000
129,133,5.645,-3.1909450,55.9453050,-3.1909140,55.9453530,7.782537,0.625000
129,176,39.069,-3.1909450,55.9453050,-3.1903540,55.9454230,7.923664,0.750000
130,137,11.667,-3.1909390,55.9466500,-3.1908360,55.9465630,13.063534,0.250000
131,160,20.014,-3.1909360,55.9449500,-3.1906250,55.9449960,9.846575,0.500000
132,134,3.442,-3.1909360,55.9463830,-3.1909060,55.9464090,10.970742,0.250000
133,152,16.187,-3.1909140,55.9453530,-3.1906750,55.9454100,9.932070,0.500000
134,136,3.538,-3.1909060,55.9464090,-3.1908670,55.9464330,10.782817,0.250000
135,139,6.759,-3.1908870,55.9454030,-3.1907780,55.9454060,11.410363,0.250000
136,138,3.758,-3.1908670,55.9464330,-3.1908130,55.9464480,11.186499,0.250000
137,140,5.749,-3.1908360,55.9465630,-3.1907740,55.9465250,11.318479,0.250000
138,141,4.193,-3.1908130,55.9464480,-3.1907470,55.9464560,11.426680,0.250000
139,152,6.490,-3.1907780,55.9454060,-3.1906750,55.9454100,10.896290,0.375000
140,156,10.689,-3.1907740,55.9465250,-3.1906500,55.9464580,9.283528,0.500000
141,147,3.029,-3.1907470,55.9464560,-3.1906990,55.9464590,10.858861,0.250000
142,145,3.676,-3.1907410,55.9474550,-3.1907210,55.9474230,13.085561,0.250000
142,148,6.921,-3.1907410,55.9474550,-3.1906920,55.9475110,11.483032,0.250000
143,148,8.353,-3.1907390,55.9475810,-3.1906920,55.9475110,10.191893,0.250000
143,150,3.461,-3.1907390,55.9475810,-3.1906870,55.9475920,9.424528,0.375000
144,146,1.464,-3.1907270,55.9451940,-3.1907050,55.9451980,10.464076,0.250000
144,160,22.925,-3.1907270,55.9451940,-3.1906250,55.9449960,9.097864,0.500000
145,151,7.009,-3.1907210,55.9474230,-3.1906810,55.9473650,12.171983,0.250000
146,149,1.032,-3.1907050,55.9451980,-3.1906890,55.9452010,13.079267,0.250000
147,156,3.083,-3.1906990,55.9464590,-3.1906500,55.9464580,9.856558,0.500000
149,177,23.421,-3.1906890,55.9452010,-3.1903310,55.9452650,12.573771,0.250000
150,153,1.591,-3.1906870,55.9475920,-3.1906630,55.9475980,9.430846,0.500000
150,154,5.772,-3.1906870,55.9475920,-3.1906570,55.9475430,10.245149,0.500000
151,157,3.076,-3.1906810,55.9473650,-3.1906340,55.9473740,8.974680,0.500000
152,175,19.473,-3.1906750,55.9454100,-3.1903800,55.9454690,9.269002,0.500000
153,154,6.051,-3.1906630,55.9475980,-3.1906570,55.9475430,9.794941,0.500000
153,161,2.526,-3.1906630,55.9475980,-3.1906250,55.9476060,10.639494,0.375000
154,159,11.155,-3.1906570,55.9475430,-3.1906270,55.9474440,10.351848,0.500000
155,158,1.331,-3.1906520,55.9450960,-3.1906310,55.9450990,12.279622,0.250000
155,162,5.970,-3.1906520,55.9450960,-3.1906240,55.9450440,11.176541,0.250000
156,167,4.663,-3.1906500,55.9464580,-3.1905940,55.9464870,10.506080,0.500000
156,238,92.927,-3.1906500,55.9464580,-3.1895320,55.9459050,10.200226,0.500000
157,159,7.786,-3.1906340,55.9473740,-3.1906270,55.9474440,7.897373,0.625000
157,169,13.771,-3.1906340,55.9473740,-3.1905480,55.9472600,9.375143,0.625000
157,171,6.150,-3.1906340,55.9473740,-3.1905420,55.9473940,7.277604,0.750000
158,172,6.024,-3.1906310,55.9450990,-3.1905390,55.9451150,11.373695,0.250000
159,171,7.692,-3.1906270,55.9474440,-3.1905420,55.9473940,7.562449,0.625000
160,163,2.013,-3.1906250,55.9449960,-3.1906160,55.9449790,9.096212,0.500000
160,165,1.619,-3.1906250,55.9449960,-3.1906000,55.9450000,7.326670,0.625000
161,170,14.246,-3.1906250,55.9476060,-3.1905430,55.9474860,10.603753,0.250000
162,164,2.799,-3.1906240,55.9450440,-3.1906110,55.9450200,11.977270,0.250000
163,191,30.533,-3.1906160,55.9449790,-3.1901440,55.9450520,11.703004,0.250000
164,165,2.323,-3.1906110,55.9450200,-3.1906000,55.9450000,11.161106,0.375000
165,188,28.638,-3.1906000,55.9450000,-3.1901600,55.9450750,10.124785,0.500000
166,169,3.472,-3.1905970,55.9472450,-3.1905480,55.9472600,9.272658,0.375000
167,211,43.608,-3.1905940,55.9464870,-3.1899640,55.9466570,14.079431,0.125000
168,170,1.054,-3.1905590,55.9474830,-3.1905430,55.9474860,12.406063,0.250000
168,173,9.580,-3.1905590,55.9474830,-3.1905020,55.9474030,10.112660,0.250000
169,174,6.183,-3.1905480,55.9472600,-3.1904610,55.9472870,8.307105,0.500000
171,173,2.691,-3.1905420,55.9473940,-3.1905020,55.9474030,8.968668,0.500000
171,174,12.928,-3.1905420,55.9473940,-3.1904610,55.9472870,8.135498,0.625000
172,181,17.408,-3.1905390,55.9451150,-3.1902710,55.9451600,12.477893,0.250000
174,180,10.333,-3.1904610,55.9472870,-3.1903160,55.9473320,11.124875,0.375000
175,176,5.367,-3.1903800,55.9454690,-3.1903540,55.9454230,7.494163,0.625000
175,204,22.124,-3.1903800,55.9454690,-3.1900450,55.9455360,9.001254,0.500000
176,179,6.337,-3.1903540,55.9454230,-3.1903230,55.9453690,9.900839,0.500000
176,239,53.726,-3.1903540,55.9454230,-3.1895280,55.9455630,9.792716,0.500000
177,178,0.981,-3.1903310,55.9452650,-3.1903260,55.9452560,10.933219,0.250000
178,182,4.032,-3.1903260,55.9452560,-3.1902640,55.9452670,10.178051,0.500000
179,182,11.884,-3.1903230,55.9453690,-3.1902640,55.9452670,10.499132,0.500000
180,252,60.753,-3.1903160,55.9473320,-3.1894060,55.9475290,10.288597,0.375000
181,184,3.871,-3.1902710,55.9451600,-3.1902120,55.9451700,10.583197,0.375000
182,183,2.004,-3.1902640,55.9452670,-3.1902330,55.9452730,10.273999,0.500000
182,184,11.292,-3.1902640,55.9452670,-3.1902120,55.9451700,8.628934,0.625000
183,186,2.321,-3.1902330,55.9452730,-3.1901980,55.9452790,12.477327,0.250000
184,188,11.082,-3.1902120,55.9451700,-3.1901600,55.9450750,9.959890,0.500000
185,186,1.020,-3.1902020,55.9452880,-3.1901980,55.9452790,11.263746,0.250000
185,189,3.512,-3.1902020,55.9452880,-3.1901480,55.9452970,12.694760,0.250000
187,206,8.326,-3.1901620,55.9444770,-3.1900340,55.9444980,13.539920,0.125000
188,193,3.183,-3.1901600,55.9450750,-3.1901100,55.9450810,10.703726,0.375000
189,198,12.632,-3.1901480,55.9452970,-3.1900870,55.9451890,12.236505,0.250000
