tid,spawn_time,node_id,lon,lat,weight,deadline,status,assigned_vehicle,finish_time,travel_distance_m
137,536.000,232,-3.1896510,55.9472490,8.7434,759.811,DONE,2,648.000,285.337
138,536.500,558,-3.1867310,55.9474360,6.8103,875.321,DONE,2,618.500,191.556
139,546.000,577,-3.1866170,55.9448370,15.7797,939.207,DONE,2,735.000,94.517
140,569.500,275,-3.1890800,55.9473740,20.0497,964.463,DONE,0,650.000,377.864
141,572.000,504,-3.1871120,55.9455480,14.1728,815.845,DONE,0,609.000,166.701
142,574.500,415,-3.1878120,55.9466730,32.3515,862.422,DONE,0,591.000,42.441
143,576.500,365,-3.1880630,55.9469290,6.4145,824.018,DONE,0,585.500,97.197
144,585.000,72,-3.1912830,55.9470930,39.8382,840.680,DONE,1,619.500,247.494
145,596.000,367,-3.1880510,55.9466280,9.8226,824.543,DONE,4,630.000,31.438
146,607.500,53,-3.1915140,55.9460200,10.4396,1000.937,DONE,4,717.500,100.946
147,609.000,381,-3.1879700,55.9468990,13.6805,876.675,DONE,4,648.000,188.138
148,611.000,310,-3.1884930,55.9465090,30.0370,909.612,DONE,4,627.000,39.689
149,614.000,545,-3.1868190,55.9476480,18.6936,974.201,DONE,4,663.500,152.762
150,616.500,381,-3.1879700,55.9468990,29.7899,958.861,DONE,4,648.500,0.000
151,619.500,327,-3.1883690,55.9451040,33.4488,989.370,DONE,4,748.000,314.331
152,621.000,127,-3.1909560,55.9454060,11.0645,946.321,DONE,4,707.500,444.826
153,626.000,477,-3.1875150,55.9461700,14.9156,854.443,DONE,3,747.000,124.312
154,627.000,384,-3.1879580,55.9449560,35.2551,965.814,DONE,5,708.000,69.799
155,629.000,352,-3.1881910,55.9469030,14.9785,1012.360,DONE,3,764.000,20.722
156,632.000,54,-3.1914940,55.9467190,19.9820,1012.935,DONE,5,812.500,333.605
157,638.000,95,-3.1911480,55.9455260,21.8233,1021.722,DONE,5,763.000,409.477
158,640.000,436,-3.1877340,55.9453550,20.3731,960.922,DONE,5,701.500,258.803
159,643.500,581,-3.1865480,55.9448560,40.9141,913.889,DONE,5,723.500,161.113
160,644.000,525,-3.1869360,55.9453310,18.6783,949.969,DONE,3,788.000,223.288
161,646.500,510,-3.1870760,55.9475690,12.4328,927.677,DONE,1,768.500,62.577
162,654.500,70,-3.1912950,55.9441950,38.2263,996.884,DONE,5,779.000,155.341
163,657.000,370,-3.1880220,55.9471420,31.2896,1009.557,DONE,5,674.000,147.772
164,659.500,143,-3.1907390,55.9475810,31.0901,861.567,DONE,1,718.000,28.081
165,661.000,7,-3.1960590,55.9448400,19.1942,981.000,DONE,3,862.500,701.874
166,661.500,560,-3.1867170,55.9473380,30.2491,1022.784,DONE,1,761.500,341.740
167,663.500,91,-3.1911790,55.9471150,26.0915,921.708,DONE,1,727.000,84.429
168,664.500,575,-3.1866310,55.9448530,37.9768,1050.321,DONE,1,814.500,435.268
169,668.000,324,-3.1883920,55.9476980,25.9861,939.400,DONE,1,698.500,209.713
170,670.500,171,-3.1905420,55.9473940,31.0617,979.577,DONE,1,714.500,151.067
171,675.500,206,-3.1900340,55.9444980,23.4199,957.096,DONE,1,844.000,307.705
172,678.000,494,-3.1872250,55.9455190,21.7487,984.344,DONE,0,755.500,107.249
173,678.500,13,-3.1946950,55.9448760,38.3627,997.254,DONE,0,876.000,650.000
174,682.000,445,-3.1876990,55.9464780,27.7923,959.704,DONE,0,731.500,38.587
175,689.000,397,-3.1878890,55.9448280,35.0242,940.345,DONE,0,769.500,147.339
176,694.500,464,-3.1876150,55.9465130,25.3085,1035.874,DONE,0,728.000,102.635
177,695.500,577,-3.1866170,55.9448370,19.6102,1045.200,DONE,3,797.000,83.468
178,696.500,447,-3.1876960,55.9463210,26.3730,1027.346,DONE,0,744.000,12.195
179,700.500,367,-3.1880510,55.9466280,20.5376,1057.244,DONE,3,734.500,71.126
180,704.000,567,-3.1866790,55.9473900,6.4408,984.407,DONE,0,814.000,430.453
181,704.500,325,-3.1883830,55.9463650,13.5921,1029.797,DONE,3,754.000,75.571
182,707.000,471,-3.1875750,55.9462510,37.8513,1015.291,DONE,0,742.500,101.859
183,726.000,382,-3.1879670,55.9468520,33.7581,1081.984,DONE,3,762.000,70.216
184,729.500,34,-3.1918730,55.9473180,8.2179,1047.183,ASSIGNED,2,,0.000
185,730.500,304,-3.1885560,55.9461270,24.3201,1000.236,ASSIGNED,5,,116.231
186,743.500,194,-3.1901080,55.9451850,9.2074,1131.219,PENDING,,,0.000
187,745.000,479,-3.1874790,55.9465260,31.0894,985.408,DONE,4,827.500,137.064
188,747.000,42,-3.1916940,55.9452120,27.8681,1088.997,ASSIGNED,5,,0.000
