node_id,lon,lat
382,-3.1879670,55.9468520
383,-3.1879620,55.9466290
384,-3.1879580,55.9449560
385,-3.1879550,55.9468460
386,-3.1879480,55.9464040
387,-3.1879450,55.9464680
388,-3.1879410,55.9451750
389,-3.1879350,55.9468820
390,-3.1879320,55.9468430
391,-3.1879110,55.9465510
392,-3.1879060,55.9463850
393,-3.1878920,55.9462960
394,-3.1878910,55.9464570
395,-3.1878900,55.9450820
396,-3.1878900,55.9466230
397,-3.1878890,55.9448280
398,-3.1878780,55.9474620
399,-3.1878770,55.9474730
400,-3.1878720,55.9474490
401,-3.1878720,55.9474820
402,-3.1878710,55.9450470
403,-3.1878690,55.9463640
404,-3.1878660,55.9474880
405,-3.1878580,55.9474940
406,-3.1878450,55.9464450
407,-3.1878450,55.9475000
408,-3.1878440,55.9473280
409,-3.1878370,55.9455070
410,-3.1878330,55.9465340
411,-3.1878210,55.9475060
412,-3.1878190,55.9463300
413,-3.1878190,55.9466090
414,-3.1878120,55.9450570
415,-3.1878120,55.9466730
416,-3.1878100,55.9473330
417,-3.1878060,55.9464330
418,-3.1878020,55.9449190
419,-3.1878000,55.9455120
420,-3.1877980,55.9446590
421,-3.1877880,55.9454230
422,-3.1877860,55.9463160
423,-3.1877850,55.9471820
424,-3.1877790,55.9449950
425,-3.1877740,55.9467190
426,-3.1877650,55.9464170
427,-3.1877650,55.9465090
428,-3.1877570,55.9468710
429,-3.1877480,55.9463100
430,-3.1877450,55.9449290
431,-3.1877450,55.9472110
432,-3.1877410,55.9468490
433,-3.1877400,55.9466930
434,-3.1877390,55.9465820
435,-3.1877350,55.9455850
436,-3.1877340,55.9453550
437,-3.1877340,55.9471990
438,-3.1877310,55.9463990
439,-3.1877240,55.9471920
440,-3.1877200,55.9468140
441,-3.1877120,55.9471870
442,-3.1877090,55.9467000
443,-3.1877070,55.9455260
444,-3.1877040,55.9473510
445,-3.1876990,55.9464780
446,-3.1876980,55.9452840
447,-3.1876960,55.9463210
448,-3.1876950,55.9467030
449,-3.1876930,55.9452080
450,-3.1876930,55.9471810
451,-3.1876880,55.9463680
452,-3.1876770,55.9451770
453,-3.1876750,55.9467250
454,-3.1876740,55.9471780
455,-3.1876730,55.9465530
456,-3.1876660,55.9467310
457,-3.1876600,55.9452130
458,-3.1876540,55.9471780
459,-3.1876450,55.9464450
460,-3.1876390,55.9478990
461,-3.1876310,55.9463160
462,-3.1876280,55.9450880
463,-3.1876260,55.9452190
464,-3.1876150,55.9465130
465,-3.1876040,55.9475420
466,-3.1875880,55.9464100
467,-3.1875880,55.9478100
468,-3.1875870,55.9465990
469,-3.1875860,55.9451380
470,-3.1875760,55.9464750
471,-3.1875750,55.9462510
472,-3.1875740,55.9474850
473,-3.1875590,55.9449610
474,-3.1875420,55.9464260
475,-3.1875400,55.9459720
476,-3.1875190,55.9459270
477,-3.1875150,55.9461700
478,-3.1874990,55.9463500
479,-3.1874790,55.9465260
480,-3.1874710,55.9472690
481,-3.1874420,55.9472140
482,-3.1874040,55.9464330
483,-3.1873830,55.9459810
484,-3.1873750,55.9451930
485,-3.1873640,55.9451730
486,-3.1873400,55.9469720
487,-3.1873370,55.9461490
488,-3.1873070,55.9469190
489,-3.1872450,55.9452420
490,-3.1872350,55.9460150
491,-3.1872350,55.9468020
492,-3.1872320,55.9452160
493,-3.1872280,55.9461920
494,-3.1872250,55.9455190
495,-3.1872220,55.9455980
496,-3.1872070,55.9452480
497,-3.1871740,55.9457020
498,-3.1871680,55.9455340
499,-3.1871650,55.9459250
500,-3.1871350,55.9452600
501,-3.1871220,55.9452340
502,-3.1871140,55.9466030
503,-3.1871130,55.9456150
504,-3.1871120,55.9455480
505,-3.1871060,55.9476250
506,-3.1870970,55.9450380
507,-3.1870960,55.9453050
