tid,spawn_time,node_id,lon,lat,weight,deadline,status,assigned_vehicle,finish_time,travel_distance_m
222,592.500,199,-3.1900790,55.9451530,38.1590,857.523,DONE,0,709.500,203.136
223,599.500,425,-3.1877740,55.9467190,19.0832,807.856,EXPIRED,,,0.000
224,600.500,492,-3.1872320,55.9452160,64.3698,916.694,DONE,4,654.000,70.784
225,604.500,570,-3.1866750,55.9473790,20.5872,918.417,EXPIRED,,,0.000
226,605.000,420,-3.1877980,55.9446590,55.8756,797.589,DONE,4,666.000,125.278
227,606.000,18,-3.1932820,55.9478010,14.4926,939.461,EXPIRED,,,0.000
228,613.000,508,-3.1870920,55.9458240,18.0149,847.447,EXPIRED,,,0.000
229,613.500,67,-3.1913150,55.9468500,38.9090,819.819,DONE,2,756.500,458.653
230,616.000,465,-3.1876040,55.9475420,20.3810,768.327,EXPIRED,,,0.000
231,617.500,224,-3.1897840,55.9472200,10.9649,917.788,EXPIRED,,,0.000
232,618.000,63,-3.1913440,55.9435730,43.2782,750.007,DONE,0,732.000,236.150
233,621.000,442,-3.1877090,55.9467000,49.1392,866.213,DONE,0,678.500,177.962
234,622.500,465,-3.1876040,55.9475420,12.3106,847.674,EXPIRED,,,0.000
235,623.000,545,-3.1868190,55.9476480,63.5278,929.951,DONE,2,670.000,155.650
236,634.500,389,-3.1879350,55.9468820,54.7624,932.570,DONE,2,653.500,114.125
237,638.500,421,-3.1877880,55.9454230,62.3656,829.648,DONE,2,710.500,372.579
238,640.500,589,-3.1864140,55.9475630,21.2883,841.125,DONE,5,894.000,63.287
239,641.500,322,-3.1884010,55.9464560,37.4295,786.482,DONE,5,693.500,173.509
240,642.000,326,-3.1883700,55.9461780,22.2387,902.335,DONE,0,689.000,104.067
241,645.500,455,-3.1876730,55.9465530,66.3295,943.302,DONE,0,661.000,96.963
242,655.500,380,-3.1879710,55.9464080,20.6600,876.155,DONE,1,894.000,154.667
243,657.000,305,-3.1885510,55.9460930,36.5780,971.938,DONE,3,686.500,80.911
244,660.000,248,-3.1894500,55.9456810,53.5746,912.713,DONE,3,678.500,91.576
245,660.500,139,-3.1907780,55.9454060,10.3888,995.105,EXPIRED,,,0.000
246,664.000,82,-3.1912310,55.9454370,42.2343,926.404,DONE,3,757.500,442.283
247,664.500,181,-3.1902710,55.9451600,26.1835,1002.117,DONE,1,935.500,212.307
248,666.000,567,-3.1866790,55.9473900,40.9685,874.512,DONE,3,713.500,162.916
249,666.500,168,-3.1905590,55.9474830,27.3773,857.275,EXPIRED,,,0.000
250,668.500,448,-3.1876950,55.9467030,45.9573,825.955,DONE,3,697.500,107.400
251,669.500,510,-3.1870760,55.9475690,56.8470,928.034,DONE,5,808.000,398.956
252,670.000,384,-3.1879580,55.9449560,32.3960,907.594,DONE,4,887.000,12.026
253,672.500,155,-3.1906520,55.9450960,48.3508,937.583,DONE,5,717.000,235.344
254,675.000,85,-3.1912120,55.9454730,53.4599,842.283,DONE,5,730.000,125.008
255,677.000,174,-3.1904610,55.9472870,43.9508,953.963,DONE,1,787.000,83.012
256,678.000,443,-3.1877070,55.9455260,28.9051,872.986,DONE,8,881.000,129.371
257,681.000,552,-3.1867660,55.9475040,69.9387,989.535,DONE,9,763.000,10.900
258,684.000,89,-3.1911900,55.9455240,62.7683,841.860,DONE,6,804.000,155.228
259,688.500,565,-3.1866840,55.9474440,67.0688,993.750,DONE,9,761.500,337.611
260,689.000,363,-3.1880890,55.9465580,28.7405,909.744,DONE,8,908.500,190.825
261,690.000,419,-3.1878000,55.9455120,68.4059,837.993,DONE,9,725.500,158.906
262,691.000,9,-3.1951020,55.9449750,11.0837,891.758,EXPIRED,,,0.000
263,694.500,554,-3.1867540,55.9475850,63.1842,938.957,DONE,6,745.000,292.090
264,695.000,87,-3.1912030,55.9468420,52.1722,834.401,DONE,6,788.000,411.485
265,705.500,108,-3.1910750,55.9454380,58.1932,1041.661,DONE,8,786.000,215.518
266,707.500,49,-3.1915680,55.9448880,46.5880,849.261,DONE,2,806.500,265.102
267,708.500,453,-3.1876750,55.9467250,65.6972,1042.954,DONE,4,761.500,116.694
268,709.500,109,-3.1910680,55.9453320,60.6298,1047.873,DONE,4,830.500,140.479
269,711.500,207,-3.1900180,55.9450990,58.8368,1017.535,DONE,8,796.500,102.137
270,713.000,69,-3.1913090,55.9454130,50.2649,942.967,DONE,0,790.500,210.739
271,716.000,180,-3.1903160,55.9473320,16.4375,875.090,DONE,4,966.500,316.543
272,718.000,315,-3.1884730,55.9463060,56.4359,851.185,DONE,8,765.000,150.178
273,721.000,514,-3.1870410,55.9454610,16.9526,981.625,DONE,0,893.000,436.519
274,722.000,420,-3.1877980,55.9446590,42.5061,856.416,DONE,8,815.000,195.125
275,724.000,439,-3.1877240,55.9471920,27.0724,946.114,DONE,1,878.000,76.745
276,724.500,171,-3.1905420,55.9473940,50.4353,970.994,DONE,0,846.500,22.582
277,725.500,503,-3.1871130,55.9456150,37.8254,984.427,DONE,5,855.000,216.910
278,726.000,41,-3.1916940,55.9448710,39.5257,937.908,DONE,5,949.000,531.791
279,726.500,364,-3.1880820,55.9471320,14.2565,908.188,EXPIRED,,,0.000
280,727.500,421,-3.1877880,55.9454230,27.8955,987.693,DONE,1,912.000,166.387
281,733.000,424,-3.1877790,55.9449950,8.2426,1030.667,EXPIRED,,,0.000
282,734.000,371,-3.1880160,55.9450600,36.2929,1057.479,DONE,4,885.500,85.847
283,735.500,440,-3.1877200,55.9468140,20.0364,1049.413,DONE,1,870.500,127.400
284,736.500,141,-3.1907470,55.9464560,23.0681,965.713,DONE,4,816.500,403.518
285,739.500,70,-3.1912950,55.9441950,49.9786,1028.105,DONE,0,805.500,146.494
286,741.500,166,-3.1905970,55.9472450,51.7411,1018.822,DONE,0,844.000,378.794
287,748.500,557,-3.1867330,55.9473350,67.5818,912.498,DONE,4,776.500,152.202
288,752.000,588,-3.1864510,55.9449210,47.2697,977.138,DONE,2,849.000,417.506
289,756.500,499,-3.1871650,55.9459250,19.9015,1010.544,EXPIRED,,,0.000
290,759.500,544,-3.1868260,55.9476530,45.9316,945.917,DONE,2,892.000,412.960
291,763.500,68,-3.1913140,55.9439470,37.5895,999.455,DONE,5,962.000,134.581
292,767.000,510,-3.1870760,55.9475690,41.8434,921.351,DONE,5,887.500,304.652
293,770.000,123,-3.1909930,55.9471580,9.6646,1057.355,EXPIRED,,,0.000
294,770.500,343,-3.1882570,55.9450460,12.4979,1061.791,EXPIRED,,,0.000
295,777.500,253,-3.1893930,55.9458870,23.8484,1102.907,DONE,6,832.000,63.211
296,778.500,281,-3.1889250,55.9474060,48.7265,924.036,DONE,2,925.000,24.233
297,779.500,253,-3.1893930,55.9458870,19.5599,1106.115,EXPIRED,,,0.000
298,782.000,209,-3.1900050,55.9450730,14.5016,971.337,DONE,3,841.000,125.770
299,784.500,161,-3.1906250,55.9476060,63.4701,1103.376,DONE,6,875.000,235.283
300,785.000,207,-3.1900180,55.9450990,45.3755,1123.035,DONE,9,887.500,61.648
301,790.500,244,-3.1894850,55.9458090,69.5536,1005.501,DONE,3,828.000,77.707
302,793.500,167,-3.1905940,55.9464870,22.2027,1129.760,DONE,1,964.000,199.193
303,796.000,232,-3.1896510,55.9472490,68.8181,939.951,DONE,3,911.000,387.561
304,796.500,149,-3.1906890,55.9452010,49.9806,1060.914,DONE,9,881.500,348.857
305,798.000,512,-3.1870470,55.9449430,65.5119,935.126,DONE,6,931.500,539.842
306,799.500,103,-3.1911140,55.9452630,13.8749,1025.066,DONE,9,997.500,51.186
307,804.000,31,-3.1920620,55.9475910,19.8460,1020.176,EXPIRED,,,0.000
308,804.500,466,-3.1875880,55.9464100,66.9188,973.019,DONE,3,869.000,288.625
309,809.000,450,-3.1876930,55.9471810,54.9061,966.339,DONE,9,846.000,169.452
310,809.500,148,-3.1906920,55.9475110,18.8140,973.695,EXPIRED,,,0.000
311,813.500,451,-3.1876880,55.9463680,22.6117,1134.157,DONE,8,866.500,137.600
312,815.000,59,-3.1913930,55.9460180,65.2276,1076.466,DONE,6,850.500,187.077
313,817.500,103,-3.1911140,55.9452630,28.9627,1133.748,DONE,8,932.500,248.212
314,819.000,571,-3.1866740,55.9448220,12.0050,1042.181,EXPIRED,,,0.000
315,820.000,401,-3.1878720,55.9474820,20.4682,1033.020,EXPIRED,,,0.000
316,823.000,11,-3.1949480,55.9449680,41.6237,1145.643,DONE,5,998.000,407.786
317,823.500,449,-3.1876930,55.9452080,26.7168,968.050,DONE,1,914.500,26.900
318,826.000,33,-3.1918910,55.9460370,65.8054,970.870,DONE,9,909.000,218.475
319,832.000,534,-3.1868750,55.9476650,33.9756,986.949,DONE,4,934.000,442.495
320,834.000,209,-3.1900050,55.9450730,19.5766,1093.866,DONE,8,1092.000,8.120
321,835.500,435,-3.1877350,55.9455850,34.2666,990.154,DONE,4,876.500,261.957
322,839.500,80,-3.1912410,55.9449000,28.0357,1147.006,DONE,1,943.500,77.263
323,841.000,428,-3.1877570,55.9468710,15.5850,987.743,EXPIRED,,,0.000
324,841.500,363,-3.1880890,55.9465580,10.9343,1149.034,EXPIRED,,,0.000
325,845.500,157,-3.1906340,55.9473740,65.6541,1057.335,DONE,4,970.000,29.412
326,851.000,538,-3.1868630,55.9476640,69.5063,1026.518,DONE,8,979.500,451.454
