u,v,length_m,lon_u,lat_u,lon_v,lat_v,speed_mps,congest_base
72,97,27.392,-3.1912830,55.9470930,-3.1911340,55.9468610,10.823143,0.500000
73,78,3.056,-3.1912790,55.9453790,-3.1912530,55.9454020,9.899797,0.500000
75,110,13.092,-3.1912720,55.9460130,-3.1910620,55.9460040,11.168080,0.375000
76,80,30.373,-3.1912610,55.9446270,-3.1912410,55.9449000,8.719947,0.500000
77,83,1.760,-3.1912580,55.9468340,-3.1912300,55.9468370,11.968964,0.375000
78,79,0.738,-3.1912530,55.9454020,-3.1912420,55.9453990,9.427323,0.500000
78,82,4.135,-3.1912530,55.9454020,-3.1912310,55.9454370,10.511106,0.500000
79,94,5.876,-3.1912420,55.9453990,-3.1911550,55.9453780,10.699961,0.375000
80,81,10.345,-3.1912410,55.9449000,-3.1912320,55.9449930,8.900774,0.500000
80,122,15.882,-3.1912410,55.9449000,-3.1909960,55.9449400,10.139542,0.500000
81,86,27.798,-3.1912320,55.9449930,-3.1912100,55.9452430,9.717447,0.375000
82,85,4.140,-3.1912310,55.9454370,-3.1912120,55.9454730,13.098503,0.250000
83,87,1.781,-3.1912300,55.9468370,-3.1912030,55.9468420,11.387599,0.250000
84,90,7.118,-3.1912270,55.9478470,-3.1911860,55.9477870,13.071590,0.250000
85,89,5.905,-3.1912120,55.9454730,-3.1911900,55.9455240,11.332708,0.375000
86,88,3.020,-3.1912100,55.9452430,-3.1911970,55.9452690,9.229463,0.500000
86,103,6.395,-3.1912100,55.9452430,-3.1911140,55.9452630,10.000244,0.500000
87,97,4.764,-3.1912030,55.9468420,-3.1911340,55.9468610,10.147758,0.375000
88,101,5.215,-3.1911970,55.9452690,-3.1911160,55.9452810,8.493349,0.625000
89,92,7.616,-3.1911900,55.9455240,-3.1911600,55.9455910,8.844813,0.500000
90,106,6.370,-3.1911860,55.9477870,-3.1910910,55.9478090,12.948165,0.250000
91,123,12.547,-3.1911790,55.9471150,-3.1909930,55.9471580,8.328545,0.500000
92,93,3.806,-3.1911600,55.9455910,-3.1911570,55.9455570,11.794437,0.375000
92,110,46.359,-3.1911600,55.9455910,-3.1910620,55.9460040,10.169464,0.500000
93,95,3.442,-3.1911570,55.9455570,-3.1911480,55.9455260,11.244424,0.250000
94,96,2.840,-3.1911550,55.9453780,-3.1911390,55.9453540,11.943672,0.375000
94,105,6.697,-3.1911550,55.9453780,-3.1910910,55.9454260,10.811146,0.375000
95,98,3.210,-3.1911480,55.9455260,-3.1911330,55.9454980,11.724799,0.250000
96,99,3.481,-3.1911390,55.9453540,-3.1911200,55.9453250,9.658395,0.500000
97,107,8.601,-3.1911340,55.9468610,-3.1910880,55.9467880,8.228809,0.500000
98,102,2.816,-3.1911330,55.9454980,-3.1911150,55.9454750,10.895246,0.250000
99,100,3.886,-3.1911200,55.9453250,-3.1911170,55.9452900,10.447928,0.500000
99,109,3.359,-3.1911200,55.9453250,-3.1910680,55.9453320,8.671158,0.500000
100,101,1.035,-3.1911170,55.9452900,-3.1911160,55.9452810,10.102066,0.500000
101,103,1.996,-3.1911160,55.9452810,-3.1911140,55.9452630,7.324641,0.625000
101,129,11.011,-3.1911160,55.9452810,-3.1909450,55.9453050,8.078280,0.750000
102,104,2.837,-3.1911150,55.9454750,-3.1910940,55.9454530,12.111070,0.250000
103,126,10.236,-3.1911140,55.9452630,-3.1909570,55.9452900,10.269614,0.375000
104,108,1.977,-3.1910940,55.9454530,-3.1910750,55.9454380,10.656078,0.375000
105,108,1.665,-3.1910910,55.9454260,-3.1910750,55.9454380,10.572032,0.375000
107,112,15.739,-3.1910880,55.9467880,-3.1910390,55.9466490,11.062709,0.375000
107,130,17.887,-3.1910880,55.9467880,-3.1909390,55.9466500,11.083953,0.375000
108,111,2.240,-3.1910750,55.9454380,-3.1910460,55.9454260,11.182186,0.375000
109,133,9.883,-3.1910680,55.9453320,-3.1909140,55.9453530,9.436815,0.375000
110,121,29.478,-3.1910620,55.9460040,-3.1910000,55.9462670,8.382120,0.500000
111,120,2.570,-3.1910460,55.9454260,-3.1910090,55.9454160,10.791388,0.250000
112,113,3.684,-3.1910390,55.9466490,-3.1910290,55.9466160,12.405107,0.250000
113,115,3.911,-3.1910290,55.9466160,-3.1910200,55.9465820,12.173437,0.250000
114,123,4.363,-3.1910210,55.9471940,-3.1909930,55.9471580,9.327580,0.375000
115,119,6.084,-3.1910200,55.9465820,-3.1910110,55.9465270,12.590384,0.250000
116,117,5.148,-3.1910130,55.9463300,-3.1910130,55.9463760,11.087120,0.250000
116,121,7.065,-3.1910130,55.9463300,-3.1910000,55.9462670,9.495092,0.375000
117,118,9.441,-3.1910130,55.9463760,-3.1910120,55.9464610,10.988669,0.250000
118,119,7.339,-3.1910120,55.9464610,-3.1910110,55.9465270,11.294327,0.250000
120,127,3.498,-3.1910090,55.9454160,-3.1909560,55.9454060,10.661560,0.250000
121,124,6.076,-3.1910000,55.9462670,-3.1909780,55.9463200,9.822439,0.375000
122,131,3.892,-3.1909960,55.9449400,-3.1909360,55.9449500,10.413734,0.250000
123,128,6.874,-3.1909930,55.9471580,-3.1909480,55.9471020,8.770527,0.500000
123,166,26.466,-3.1909930,55.9471580,-3.1905970,55.9472450,9.063677,0.500000
124,125,3.636,-3.1909780,55.9463200,-3.1909590,55.9463510,13.047112,0.250000
125,132,3.870,-3.1909590,55.9463510,-3.1909360,55.9463830,10.797507,0.250000
126,129,1.881,-3.1909570,55.9452900,-3.1909450,55.9453050,8.747809,0.500000
127,135,4.303,-3.1909560,55.9454060,-3.1908870,55.9454030,11.427974,0.250000
128,216,72.368,-3.1909480,55.9471020,-3.1898610,55.9473330,10.104084,0.500000
129,133,5.645,-3.1909450,55.9453050,-3.1909140,55.9453530,9.225548,0.625000
129,176,39.069,-3.1909450,55.9453050,-3.1903540,55.9454230,7.820903,0.750000
130,137,11.667,-3.1909390,55.9466500,-3.1908360,55.9465630,10.613704,0.250000
131,160,20.014,-3.1909360,55.9449500,-3.1906250,55.9449960,8.685380,0.500000
132,134,3.442,-3.1909360,55.9463830,-3.1909060,55.9464090,12.036747,0.250000
133,152,16.187,-3.1909140,55.9453530,-3.1906750,55.9454100,9.999638,0.500000
134,136,3.538,-3.1909060,55.9464090,-3.1908670,55.9464330,12.095344,0.250000
135,139,6.759,-3.1908870,55.9454030,-3.1907780,55.9454060,12.920323,0.250000
136,138,3.758,-3.1908670,55.9464330,-3.1908130,55.9464480,12.795800,0.250000
137,140,5.749,-3.1908360,55.9465630,-3.1907740,55.9465250,12.957673,0.250000
138,141,4.193,-3.1908130,55.9464480,-3.1907470,55.9464560,11.437497,0.250000
139,152,6.490,-3.1907780,55.9454060,-3.1906750,55.9454100,11.115083,0.375000
140,156,10.689,-3.1907740,55.9465250,-3.1906500,55.9464580,10.151150,0.500000
141,147,3.029,-3.1907470,55.9464560,-3.1906990,55.9464590,12.562736,0.250000
142,145,3.676,-3.1907410,55.9474550,-3.1907210,55.9474230,10.628400,0.250000
142,148,6.921,-3.1907410,55.9474550,-3.1906920,55.9475110,12.170138,0.250000
143,148,8.353,-3.1907390,55.9475810,-3.1906920,55.9475110,10.411289,0.250000
143,150,3.461,-3.1907390,55.9475810,-3.1906870,55.9475920,9.154735,0.375000
144,146,1.464,-3.1907270,55.9451940,-3.1907050,55.9451980,10.047390,0.250000
144,160,22.925,-3.1907270,55.9451940,-3.1906250,55.9449960,9.803737,0.500000
145,151,7.009,-3.1907210,55.9474230,-3.1906810,55.9473650,12.249905,0.250000
146,149,1.032,-3.1907050,55.9451980,-3.1906890,55.9452010,11.406006,0.250000
147,156,3.083,-3.1906990,55.9464590,-3.1906500,55.9464580,8.477234,0.500000
149,177,23.421,-3.1906890,55.9452010,-3.1903310,55.9452650,12.919393,0.250000
150,153,1.591,-3.1906870,55.9475920,-3.1906630,55.9475980,9.804156,0.500000
150,154,5.772,-3.1906870,55.9475920,-3.1906570,55.9475430,8.182723,0.500000
151,157,3.076,-3.1906810,55.9473650,-3.1906340,55.9473740,10.742745,0.500000
152,175,19.473,-3.1906750,55.9454100,-3.1903800,55.9454690,10.297798,0.500000
153,154,6.051,-3.1906630,55.9475980,-3.1906570,55.9475430,8.303913,0.500000
153,161,2.526,-3.1906630,55.9475980,-3.1906250,55.9476060,12.039830,0.375000
154,159,11.155,-3.1906570,55.9475430,-3.1906270,55.9474440,9.664959,0.500000
155,158,1.331,-3.1906520,55.9450960,-3.1906310,55.9450990,10.639414,0.250000
155,162,5.970,-3.1906520,55.9450960,-3.1906240,55.9450440,11.801147,0.250000
156,167,4.663,-3.1906500,55.9464580,-3.1905940,55.9464870,10.215055,0.500000
156,238,92.927,-3.1906500,55.9464580,-3.1895320,55.9459050,10.268272,0.500000
157,159,7.786,-3.1906340,55.9473740,-3.1906270,55.9474440,9.430246,0.625000
157,169,13.771,-3.1906340,55.9473740,-3.1905480,55.9472600,7.296871,0.625000
157,171,6.150,-3.1906340,55.9473740,-3.1905420,55.9473940,6.670728,0.750000
158,172,6.024,-3.1906310,55.9450990,-3.1905390,55.9451150,10.578558,0.250000
159,171,7.692,-3.1906270,55.9474440,-3.1905420,55.9473940,8.673570,0.625000
160,163,2.013,-3.1906250,55.9449960,-3.1906160,55.9449790,9.413142,0.500000
160,165,1.619,-3.1906250,55.9449960,-3.1906000,55.9450000,9.106143,0.625000
161,170,14.246,-3.1906250,55.9476060,-3.1905430,55.9474860,13.186052,0.250000
162,164,2.799,-3.1906240,55.9450440,-3.1906110,55.9450200,11.677614,0.250000
163,191,30.533,-3.1906160,55.9449790,-3.1901440,55.9450520,13.006904,0.250000
164,165,2.323,-3.1906110,55.9450200,-3.1906000,55.9450000,10.213612,0.375000
165,188,28.638,-3.1906000,55.9450000,-3.1901600,55.9450750,10.401598,0.500000
166,169,3.472,-3.1905970,55.9472450,-3.1905480,55.9472600,11.161790,0.375000
167,211,43.608,-3.1905940,55.9464870,-3.1899640,55.9466570,11.624089,0.125000
168,170,1.054,-3.1905590,55.9474830,-3.1905430,55.9474860,12.510934,0.250000
168,173,9.580,-3.1905590,55.9474830,-3.1905020,55.9474030,10.486661,0.250000
169,174,6.183,-3.1905480,55.9472600,-3.1904610,55.9472870,8.586512,0.500000
171,173,2.691,-3.1905420,55.9473940,-3.1905020,55.9474030,9.387014,0.500000
171,174,12.928,-3.1905420,55.9473940,-3.1904610,55.9472870,9.555542,0.625000
172,181,17.408,-3.1905390,55.9451150,-3.1902710,55.9451600,10.652113,0.250000
174,180,10.333,-3.1904610,55.9472870,-3.1903160,55.9473320,11.944025,0.375000
175,176,5.367,-3.1903800,55.9454690,-3.1903540,55.9454230,7.943757,0.625000
175,204,22.124,-3.1903800,55.9454690,-3.1900450,55.9455360,9.174800,0.500000
176,179,6.337,-3.1903540,55.9454230,-3.1903230,55.9453690,8.310962,0.500000
176,239,53.726,-3.1903540,55.9454230,-3.1895280,55.9455630,8.314043,0.500000
177,178,0.981,-3.1903310,55.9452650,-3.1903260,55.9452560,10.183122,0.250000
178,182,4.032,-3.1903260,55.9452560,-3.1902640,55.9452670,10.023564,0.500000
179,182,11.884,-3.1903230,55.9453690,-3.1902640,55.9452670,8.860892,0.500000
180,252,60.753,-3.1903160,55.9473320,-3.1894060,55.9475290,11.358913,0.375000
181,184,3.871,-3.1902710,55.9451600,-3.1902120,55.9451700,11.656788,0.375000
182,183,2.004,-3.1902640,55.9452670,-3.1902330,55.9452730,10.442460,0.500000
182,184,11.292,-3.1902640,55.9452670,-3.1902120,55.9451700,9.310212,0.625000
183,186,2.321,-3.1902330,55.9452730,-3.1901980,55.9452790,11.543527,0.250000
184,188,11.082,-3.1902120,55.9451700,-3.1901600,55.9450750,9.479775,0.500000
185,186,1.020,-3.1902020,55.9452880,-3.1901980,55.9452790,10.499454,0.250000
185,189,3.512,-3.1902020,55.9452880,-3.1901480,55.9452970,12.480526,0.250000
187,206,8.326,-3.1901620,55.9444770,-3.1900340,55.9444980,14.176302,0.125000
188,193,3.183,-3.1901600,55.9450750,-3.1901100,55.9450810,10.531325,0.375000
189,198,12.632,-3.1901480,55.9452970,-3.1900870,55.9451890,11.633573,0.250000
190,191,0.450,-3.1901450,55.9450560,-3.1901440,55.9450520,12.213817,0.250000
190,192,1.730,-3.1901450,55.9450560,-3.1901190,55.9450600,11.030046,0.250000
192,195,1.733,-3.1901190,55.9450600,-3.1900920,55.9450640,12.205124,0.250000
193,202,3.210,-3.1901100,55.9450810,-3.1900590,55.9450820,11.901131,0.250000
194,196,3.949,-3.1901080,55.9451850,-3.1900910,55.9451510,11.470933,0.250000
194,198,1.403,-3.1901080,55.9451850,-3.1900870,55.9451890,12.682499,0.250000
195,197,0.450,-3.1900920,55.9450640,-3.1900900,55.9450600,11.733488,0.250000
196,199,0.741,-3.1900910,55.9451510,-3.1900790,55.9451530,12.221011,0.250000
197,209,5.469,-3.1900900,55.9450600,-3.1900050,55.9450730,11.176585,0.250000
199,200,0.792,-3.1900790,55.9451530,-3.1900710,55.9451470,13.215130,0.250000
200,201,0.834,-3.1900710,55.9451470,-3.1900600,55.9451430,12.447086,0.250000
201,203,0.805,-3.1900600,55.9451430,-3.1900490,55.9451390,12.251604,0.250000
202,208,2.962,-3.1900590,55.9450820,-3.1900120,55.9450860,8.800494,0.500000
203,205,0.895,-3.1900490,55.9451390,-3.1900360,55.9451360,11.429811,0.250000
204,210,4.077,-3.1900450,55.9455360,-3.1899850,55.9455510,10.505841,0.375000
204,213,7.646,-3.1900450,55.9455360,-3.1899230,55.9455350,10.040582,0.375000
205,207,4.264,-3.1900360,55.9451360,-3.1900180,55.9450990,12.091324,0.250000
206,249,37.897,-3.1900340,55.9444980,-3.1894470,55.9445890,10.455305,0.250000
207,208,1.487,-3.1900180,55.9450990,-3.1900120,55.9450860,8.575412,0.500000
208,209,1.475,-3.1900120,55.9450860,-3.1900050,55.9450730,8.657881,0.500000
208,221,13.072,-3.1900120,55.9450860,-3.1898090,55.9451170,10.679118,0.500000
210,212,3.674,-3.1899850,55.9455510,-3.1899330,55.9455660,10.455996,0.250000
212,215,3.212,-3.1899330,55.9455660,-3.1898900,55.9455820,10.211725,0.375000
213,220,6.953,-3.1899230,55.9455350,-3.1898130,55.9455480,11.038862,0.250000
214,216,6.840,-3.1899010,55.9473900,-3.1898610,55.9473330,10.311006,0.500000
214,256,34.358,-3.1899010,55.9473900,-3.1893860,55.9475020,9.728457,0.500000
215,218,4.014,-3.1898900,55.9455820,-3.1898260,55.9455840,10.545755,0.375000
215,223,7.144,-3.1898900,55.9455820,-3.1898000,55.9456220,12.035210,0.375000
216,217,5.935,-3.1898610,55.9473330,-3.1898270,55.9472830,9.553282,0.500000
216,258,34.366,-3.1898610,55.9473330,-3.1893470,55.9474460,6.702287,0.750000
217,219,1.202,-3.1898270,55.9472830,-3.1898200,55.9472730,10.494485,0.250000
218,226,4.268,-3.1898260,55.9455840,-3.1897580,55.9455870,10.688996,0.250000
219,235,15.430,-3.1898200,55.9472730,-3.1895910,55.9473260,12.429159,0.250000
220,229,7.707,-3.1898130,55.9455480,-3.1896980,55.9455730,10.645183,0.250000
221,225,11.012,-3.1898090,55.9451170,-3.1897630,55.9450220,11.065784,0.375000
222,224,3.945,-3.1898060,55.9472540,-3.1897840,55.9472200,12.930777,0.250000
222,257,31.008,-3.1898060,55.9472540,-3.1893510,55.9473670,12.690872,0.250000
223,228,5.650,-3.1898000,55.9456220,-3.1897310,55.9456550,12.550869,0.250000
224,232,8.820,-3.1897840,55.9472200,-3.1896510,55.9472490,12.268588,0.250000
225,227,3.011,-3.1897630,55.9450220,-3.1897500,55.9449960,9.991431,0.375000
225,273,40.141,-3.1897630,55.9450220,-3.1891410,55.9451180,9.763620,0.375000
226,230,4.712,-3.1897580,55.9455870,-3.1896840,55.9455970,12.015930,0.250000
227,234,33.284,-3.1897500,55.9449960,-3.1896070,55.9447070,11.537147,0.125000
228,231,5.678,-3.1897310,55.9456550,-3.1896650,55.9456900,10.229027,0.250000
229,233,6.546,-3.1896980,55.9455730,-3.1896170,55.9456110,10.620522,0.375000
230,233,4.449,-3.1896840,55.9455970,-3.1896170,55.9456110,11.723756,0.375000
231,236,6.875,-3.1896650,55.9456900,-3.1895870,55.9457340,12.069443,0.250000
232,265,25.494,-3.1896510,55.9472490,-3.1892690,55.9473310,11.792535,0.375000
233,237,4.239,-3.1896170,55.9456110,-3.1895570,55.9456290,9.185036,0.375000
235,257,15.592,-3.1895910,55.9473260,-3.1893510,55.9473670,11.790132,0.250000
236,241,6.208,-3.1895870,55.9457340,-3.1895210,55.9457760,12.675085,0.250000
237,242,4.122,-3.1895570,55.9456290,-3.1895030,55.9456500,12.430140,0.250000
238,243,3.002,-3.1895320,55.9459050,-3.1894950,55.9458870,10.523830,0.375000
239,254,11.170,-3.1895280,55.9455630,-3.1893920,55.9456280,11.677387,0.250000
240,251,7.169,-3.1895260,55.9479320,-3.1894150,55.9479480,13.330655,0.125000
241,244,4.338,-3.1895210,55.9457760,-3.1894850,55.9458090,10.439825,0.375000
242,248,4.721,-3.1895030,55.9456500,-3.1894500,55.9456810,10.601472,0.250000
243,245,3.024,-3.1894950,55.9458870,-3.1894790,55.9458610,11.962316,0.375000
243,247,2.797,-3.1894950,55.9458870,-3.1894510,55.9458840,9.247958,0.375000
244,246,4.136,-3.1894850,55.9458090,-3.1894770,55.9458460,11.827661,0.375000
244,255,5.866,-3.1894850,55.9458090,-3.1893910,55.9458090,9.122254,0.500000
245,246,1.718,-3.1894790,55.9458610,-3.1894770,55.9458460,11.278705,0.250000
247,253,3.573,-3.1894510,55.9458840,-3.1893930,55.9458870,11.878985,0.375000
248,261,13.144,-3.1894500,55.9456810,-3.1893120,55.9457700,9.048233,0.500000
249,362,86.911,-3.1894470,55.9445890,-3.1881000,55.9447940,9.181404,0.375000
250,282,42.095,-3.1894460,55.9465320,-3.1889030,55.9463060,11.245332,0.250000
251,260,8.351,-3.1894150,55.9479480,-3.1893150,55.9478980,10.730530,0.250000
252,256,3.291,-3.1894060,55.9475290,-3.1893860,55.9475020,7.478781,0.625000
252,303,56.623,-3.1894060,55.9475290,-3.1885580,55.9477130,9.233428,0.500000
253,255,8.630,-3.1893930,55.9458870,-3.1893910,55.9458090,9.252774,0.500000
253,259,3.889,-3.1893930,55.9458870,-3.1893340,55.9458980,11.363301,0.375000
254,271,15.404,-3.1893920,55.9456280,-3.1892040,55.9457180,11.060859,0.375000
255,261,6.591,-3.1893910,55.9458090,-3.1893120,55.9457700,7.691426,0.625000
256,258,6.664,-3.1893860,55.9475020,-3.1893470,55.9474460,6.383604,0.750000
256,283,33.634,-3.1893860,55.9475020,-3.1888820,55.9476100,9.850633,0.500000
258,262,6.583,-3.1893470,55.9474460,-3.1893090,55.9473900,8.436963,0.500000
258,272,12.530,-3.1893470,55.9474460,-3.1891600,55.9474870,8.178693,0.500000
259,263,3.575,-3.1893340,55.9458980,-3.1892840,55.9459140,11.629066,0.250000
260,295,42.562,-3.1893150,55.9478980,-3.1886730,55.9480290,12.622294,0.250000
261,266,5.071,-3.1893120,55.9457700,-3.1892640,55.9458070,9.159440,0.500000
261,271,8.819,-3.1893120,55.9457700,-3.1892040,55.9457180,7.427844,0.625000
262,265,7.019,-3.1893090,55.9473900,-3.1892690,55.9473310,11.156223,0.375000
263,267,3.079,-3.1892840,55.9459140,-3.1892470,55.9459320,12.621402,0.250000
264,268,9.031,-3.1892730,55.9474180,-3.1892210,55.9473420,10.232361,0.250000
264,274,9.406,-3.1892730,55.9474180,-3.1891330,55.9474490,10.664616,0.500000
265,268,3.210,-3.1892690,55.9473310,-3.1892210,55.9473420,10.171851,0.375000
266,270,5.796,-3.1892640,55.9458070,-3.1892100,55.9458490,10.095090,0.250000
267,269,2.840,-3.1892470,55.9459320,-3.1892190,55.9459520,11.712352,0.250000
269,285,43.418,-3.1892190,55.9459520,-3.1888200,55.9462720,9.634438,0.375000
270,277,20.254,-3.1892100,55.9458490,-3.1890200,55.9459970,12.368100,0.250000
271,278,21.436,-3.1892040,55.9457180,-3.1889870,55.9458680,10.294396,0.375000
272,274,4.556,-3.1891600,55.9474870,-3.1891330,55.9474490,9.828609,0.500000
273,276,5.726,-3.1891410,55.9451180,-3.1890530,55.9451320,12.468364,0.250000
274,275,8.975,-3.1891330,55.9474490,-3.1890800,55.9473740,11.273281,0.375000
274,279,10.382,-3.1891330,55.9474490,-3.1889780,55.9474840,9.129429,0.500000
276,297,24.866,-3.1890530,55.9451320,-3.1886680,55.9451920,11.866482,0.375000
277,298,37.836,-3.1890200,55.9459970,-3.1886610,55.9462720,10.563512,0.250000
278,280,5.665,-3.1889870,55.9458680,-3.1889280,55.9459060,11.764774,0.250000
279,281,9.295,-3.1889780,55.9474840,-3.1889250,55.9474060,10.587460,0.250000
280,284,8.084,-3.1889280,55.9459060,-3.1888470,55.9459630,11.920730,0.250000
281,290,10.675,-3.1889250,55.9474060,-3.1887650,55.9474400,11.396502,0.250000
