u,v,length_m,lon_u,lat_u,lon_v,lat_v,speed_mps,congest_base
92,110,46.359,-3.1911600,55.9455910,-3.1910620,55.9460040,10.824196,0.500000
93,95,3.442,-3.1911570,55.9455570,-3.1911480,55.9455260,12.695626,0.250000
94,96,2.840,-3.1911550,55.9453780,-3.1911390,55.9453540,9.754660,0.375000
94,105,6.697,-3.1911550,55.9453780,-3.1910910,55.9454260,9.585847,0.375000
95,98,3.210,-3.1911480,55.9455260,-3.1911330,55.9454980,11.621013,0.250000
96,99,3.481,-3.1911390,55.9453540,-3.1911200,55.9453250,9.737866,0.500000
97,107,8.601,-3.1911340,55.9468610,-3.1910880,55.9467880,10.218549,0.500000
98,102,2.816,-3.1911330,55.9454980,-3.1911150,55.9454750,11.645293,0.250000
99,100,3.886,-3.1911200,55.9453250,-3.1911170,55.9452900,9.549233,0.500000
99,109,3.359,-3.1911200,55.9453250,-3.1910680,55.9453320,10.326348,0.500000
100,101,1.035,-3.1911170,55.9452900,-3.1911160,55.9452810,9.201453,0.500000
101,103,1.996,-3.1911160,55.9452810,-3.1911140,55.9452630,7.653857,0.625000
101,129,11.011,-3.1911160,55.9452810,-3.1909450,55.9453050,7.304635,0.750000
102,104,2.837,-3.1911150,55.9454750,-3.1910940,55.9454530,12.833083,0.250000
103,126,10.236,-3.1911140,55.9452630,-3.1909570,55.9452900,9.651882,0.375000
104,108,1.977,-3.1910940,55.9454530,-3.1910750,55.9454380,11.634289,0.375000
105,108,1.665,-3.1910910,55.9454260,-3.1910750,55.9454380,10.218053,0.375000
107,112,15.739,-3.1910880,55.9467880,-3.1910390,55.9466490,11.495141,0.375000
107,130,17.887,-3.1910880,55.9467880,-3.1909390,55.9466500,9.519367,0.375000
108,111,2.240,-3.1910750,55.9454380,-3.1910460,55.9454260,9.617316,0.375000
109,133,9.883,-3.1910680,55.9453320,-3.1909140,55.9453530,10.190788,0.375000
110,121,29.478,-3.1910620,55.9460040,-3.1910000,55.9462670,9.270363,0.500000
111,120,2.570,-3.1910460,55.9454260,-3.1910090,55.9454160,10.636579,0.250000
112,113,3.684,-3.1910390,55.9466490,-3.1910290,55.9466160,11.603698,0.250000
113,115,3.911,-3.1910290,55.9466160,-3.1910200,55.9465820,13.073674,0.250000
114,123,4.363,-3.1910210,55.9471940,-3.1909930,55.9471580,10.453778,0.375000
115,119,6.084,-3.1910200,55.9465820,-3.1910110,55.9465270,12.114416,0.250000
116,117,5.148,-3.1910130,55.9463300,-3.1910130,55.9463760,11.764151,0.250000
116,121,7.065,-3.1910130,55.9463300,-3.1910000,55.9462670,11.209441,0.375000
117,118,9.441,-3.1910130,55.9463760,-3.1910120,55.9464610,12.629659,0.250000
118,119,7.339,-3.1910120,55.9464610,-3.1910110,55.9465270,10.177536,0.250000
120,127,3.498,-3.1910090,55.9454160,-3.1909560,55.9454060,10.162155,0.250000
